post_id,username,platform,post_type,post_date,likes,comments,shares,engagement_rate,sponsorship,brand_name,revenue_generated,ad_spent,category,region,follower_count,campaign_duration_days
P1006,@sarah123,YouTube,video,14-Jun-25,1750237,,98,,no,,"2,560.26 INR",1394.416828,fashion,Canada,500,9999
P4262,@jdoe,YouTube,text,11/7/2022,,2690,,N/A,,CocaCola,"3,290.79 INR",1351.254466,food,U.S.,1.2M,26
P4585,@the_real_amy,Twitter,video,9/5/2025,33270,870,794,N/A,No,Adidas,"$4,256.20 ",1772.273818,fashion,Australia,122909,
P5050,@the_real_amy,Twitter,reel,11/22/2022,1198591,,1264,8.41,,Adidas,"2,309.49 INR",1975.784906,travel,Germany,500,
P6421,@jdoe,YouTube,video,3/15/2023,1559933,,1194,4.19,no,Google,"₹3,582",639.4191368,tech,United States,500,
P5471,@techietom,Twitter,reel,8/5/2024,,,1109,,yes,Pepsi,1977.910223,39.06391348,food,USA,500,42
P3977,@travelwithsam,Instagram,image,6/21/2022,,3060,,N/A,,TATA,"₹4,001",1839.083241,finance,Canada,10k,
P1659,@alex,Instagram,image,18/12/2023,,,,,,Nike,"1,720.63 INR","1,902.41 INR",travel,Australia,542835,9999
P7149,@alex,YouTube,text,8/10/2022,10230,3302,189,9.36,No,Gogle,$674.79 ,USD 435.93,travel,U.S.,1.2M,9999
P9031,@travelwithsam,Instagram,text,22-May-22,1603165,2675,972,N/A,no,Netflix,"USD 1,252.10","$1,200.82 ",finance,U.K.,403190,
P8385,@alex_99,Twitter,text,23/10/2023,,,,,,Adiddas,921.8779574,540.1647928,food,Canada,4423380,
P4937,@johndoe,TikTok,video,25/06/2022,,,,,,Nike,₹950,USD 516.70,finance,Germany,500,
P8434,@finance_guru,Twitter,reel,1-Feb-25,1741704,,,11.91,yes,Netflix,"1,506.47 INR",612.4120603,travel,Germany,1.2M,9999
P6912,@jdoe,Twitter,text,25/07/2022,,,1533,1.9,,Nkie,1611.962323,"₹1,380",fashion,UK,1.2M,2
P8827,@the_real_amy,LinkedIn,reel,29/11/2023,,1636,1648,4.19,no,Sony,"₹2,789","$1,505.58 ",tech,UK,4965550,
P8381,@alex_99,TikTok,reel,26/05/2025,28673,,,N/A,Yes,Google,"₹3,448",,finance,U.S.,,
P8699,@finance_guru,Instagram,image,11/17/2022,,,,8.57,No,Google,"$3,067.67 ",₹416,travel,United States,500,
P2169,@jdoe,YouTube,video,19/08/2025,4931,202,,N/A,,Apple,"$4,305.05 ",1847.822089,fitness,Canada,1.2M,24
P1339,@alex,Instagram,text,2/22/2022,40772,,,,yes,Adidas,"3,458.96 INR","1,000.94 INR",food,USA,10k,9999
P2713,@jdoe,Twitter,text,16-Apr-24,1566976,3272,1147,N/A,no,Apple,"USD 2,239.04",,finance,Australia,1.2M,9999
P7770,@the_real_amy,TikTok,reel,11/19/2024,,,,,Yes,Pepsi,4077.151872,,tech,UK,,
P7684,@alex,Twitter,video,21-Nov-22,34754,,,9.42,Yes,Apple,1057.61328,,travel,Australia,,7
P3236,@alex_99,Twitter,video,25/02/2024,18227,2976,,N/A,no,Google,"4,169.11 INR",USD 583.72,food,Australia,,9999
P7180,@alex_99,Twitter,reel,8-Dec-23,,,,N/A,,Sony,"$1,372.50 ",597.1116995,finance,United States,,9999
P6439,@finance_guru,Twitter,reel,17/03/2022,,4061,1321,8.62,No,Adidas,"4,287.26 INR",,fitness,Canada,,9999
P8994,@alex_99,TikTok,text,12/28/2024,,623,,0.33,Yes,,"₹2,079",,travel,Canada,1.2M,9999
P8056,@techietom,YouTube,text,25-Apr-22,2049,3723,452,,Yes,Nike,"$4,987.26 ",$196.89 ,food,UK,1.2M,
P9955,@the_real_amy,YouTube,reel,6/7/2023,7158,,1682,2.63,yes,,"3,066.98 INR",481.6595837,fashion,Australia,500,
P5837,@the_real_amy,Twitter,reel,17-Mar-25,4499,,,,No,Apple,"3,212.75 INR",USD 913.67,fashion,Australia,,
P1645,@alex,LinkedIn,text,12/9/2025,891971,,,N/A,No,Google,"$3,902.64 ","USD 1,490.34",fashion,U.K.,4124999,9999
P6549,@jdoe,TikTok,video,6/11/2023,,98,,11.01,yes,Netflix,"USD 4,552.66",₹351,finance,Germany,1.2M,9999
P7242,@alex_99,Twitter,image,20-Jul-24,,4433,1729,11.34,,CocaCola,"4,307.70 INR","USD 1,609.18",tech,USA,1.2M,9999
P2592,@sarah123,TikTok,image,18-Mar-22,46760,160,,N/A,No,Apple,1673.631095,126.43 INR,fitness,Canada,500,14
P8285,@johndoe,Instagram,text,9-Mar-22,580047,3987,,N/A,no,TATA,4749.434804,"₹1,485",food,Australia,10k,
P4394,@johndoe,YouTube,video,15/09/2022,,4735,,N/A,yes,Nike,"1,825.44 INR","1,936.41 INR",tech,USA,4302254,9999
P5347,@lifestylelina,Instagram,video,20-Apr-25,45525,1045,,N/A,yes,Nike,₹64,"₹1,080",tech,United States,116881,38
P7580,@alex,LinkedIn,text,7/27/2024,47333,,437,,,Nkie,"USD 2,268.96",218.10802,fashion,USA,1199886,
P8048,@travelwithsam,LinkedIn,reel,8-May-25,940477,959,,,yes,Nkie,$413.78 ,₹297,travel,Germany,500,9999
P8075,@alex_99,TikTok,reel,5/18/2022,730271,16,1195,6.51,No,Pepsi,"2,098.38 INR","USD 1,459.23",food,UK,4318927,30
P4485,@alex_99,Twitter,text,12/22/2023,1231565,,517,N/A,,CocaCola,4785.291888,USD 244.46,fitness,USA,,9999
P5477,@the_real_amy,LinkedIn,image,1-Jun-25,511927,,496,,no,Gogle,"USD 4,234.60",,travel,India,131873,53
P3578,@jdoe,Instagram,video,2/10/2024,,,992,2.8,,Nkie,"2,853.29 INR",,fitness,U.S.,500,
P4531,@sarah123,TikTok,reel,5/28/2025,,,1279,13.26,no,,829.1789907,,tech,Australia,500,
P6375,@techietom,LinkedIn,text,9/3/2023,34584,,,N/A,No,Nike,"3,408.51 INR",₹617,food,USA,1.2M,
P7626,@alex_99,Twitter,reel,9-Jun-22,45681,,,,Yes,Adidas,"₹2,686","USD 1,666.71",tech,USA,,
P6562,@travelwithsam,Twitter,reel,12/9/2024,,4057,,,no,Google,900.7722439,"USD 1,379.22",tech,U.S.,500,
P9095,@johndoe,Instagram,video,18/05/2025,,4341,1199,7.71,No,CocaCola,"₹2,676",₹699,fashion,United States,368154,29
P8404,@finance_guru,TikTok,text,11/5/2024,1298838,,,N/A,Yes,TATA,"1,614.89 INR",,food,UK,1.2M,
P2695,@alex,LinkedIn,reel,23/10/2024,10647,,,1.24,,Pepsi,3094.291523,"$1,160.66 ",food,India,4043287,
P2548,@sarah123,TikTok,image,16-Jul-25,701863,4495,653,N/A,yes,Adidas,"2,216.90 INR","USD 1,219.61",travel,Canada,449482,
P7171,@techietom,YouTube,video,5/3/2025,1180673,,,N/A,no,CocaCola,4823.829642,666.7240721,fitness,U.K.,1.2M,9999
P3147,@sarah123,YouTube,text,7/27/2022,28312,574,,7.68,Yes,Samsung,"₹1,845",683.46 INR,fashion,United States,1.2M,9999
P4178,@lifestylelina,YouTube,reel,25/04/2023,,1715,681,N/A,yes,TATA,"₹3,867",USD 87.38,fitness,Australia,1.2M,
P5670,@sarah123,TikTok,text,2/9/2025,561243,,,,no,,"2,539.39 INR",1633.782479,fashion,USA,,44
P4678,@alex_99,Instagram,text,4/28/2023,48747,,,13.59,no,Nike,"$4,163.68 ",444.08 INR,travel,Canada,4384211,
P9647,@alex,LinkedIn,text,18/03/2023,,4364,,11.89,Yes,Apple,239.60 INR,277.59 INR,food,USA,,9999
P6780,@travelwithsam,LinkedIn,video,22-Oct-22,18077,,119,4.59,,,1230.275542,221.72 INR,finance,USA,500,26
P7338,@johndoe,LinkedIn,image,3/10/2024,1180793,,1853,10,,Gogle,"USD 2,641.25",,finance,Germany,183562,9999
P2033,@sarah123,Instagram,video,8/9/2024,,1664,,,yes,Netflix,"$1,243.57 ","USD 1,470.37",fashion,U.K.,10k,1
P3039,@finance_guru,TikTok,text,1/2/2024,46175,,1624,0.75,No,Gogle,"USD 4,434.66",1030.767179,food,USA,1.2M,
P2311,@sarah123,Instagram,video,22-Jan-25,,,,,no,Apple,"₹1,728",995.046785,travel,Canada,1.2M,5
P3621,@sarah123,Twitter,image,7/29/2025,352764,,,N/A,Yes,,"2,159.27 INR",USD 84.71,finance,UK,1.2M,9999
P7521,@alex,YouTube,reel,7/6/2022,13284,,1308,1.98,yes,Pepsi,"USD 3,903.65","$1,898.93 ",finance,Australia,,
P2213,@sarah123,TikTok,text,2/10/2024,965264,,1773,14.41,,Google,"3,691.59 INR","$1,827.09 ",travel,Australia,4273585,52
P1430,@finance_guru,YouTube,image,16/02/2023,29124,,217,,No,Netflix,"$3,355.81 ",USD 580.72,fashion,U.K.,10k,
P8632,@sarah123,Twitter,image,14-Sep-22,1604544,,,N/A,no,Adidas,$692.37 ,,food,Germany,289290,
P4216,@techietom,YouTube,text,28-Nov-24,,2849,1203,11.54,No,Nkie,"$2,191.46 ","USD 1,036.20",fashion,U.K.,3693805,
P5336,@techietom,LinkedIn,image,2/28/2022,,2816,,9.25,,Adiddas,"₹2,538","₹1,161",fitness,U.K.,2107192,9999
P4342,@johndoe,Twitter,video,6/19/2024,651951,,335,N/A,Yes,Nkie,"USD 2,750.61","1,609.38 INR",travel,U.S.,500,
P3308,@sarah123,LinkedIn,reel,8-Sep-22,1501727,3546,,,No,Pepsi,"USD 3,684.29",USD 261.53,finance,U.S.,500,33
P7442,@alex_99,YouTube,reel,9/24/2023,4000,,,,no,Netflix,"₹1,279","USD 1,867.50",fashion,Australia,251992,12
P6995,@techietom,LinkedIn,reel,2-Oct-22,,3913,1066,8.79,Yes,Adiddas,300.18 INR,"1,685.70 INR",travel,USA,1.2M,
P3363,@alex,LinkedIn,reel,4-Feb-24,,3373,1921,,Yes,Samsung,413.9821612,1099.714179,fitness,U.S.,,
P9721,@johndoe,TikTok,text,30-Apr-25,651638,,89,0.78,no,Samsung,"3,582.28 INR",297.8813292,fashion,U.K.,,9999
P7229,@finance_guru,Twitter,video,4/16/2022,1486073,,,,,,"$1,689.64 ","$1,167.40 ",finance,UK,10k,9999
P6325,@the_real_amy,YouTube,reel,8/5/2022,103267,825,1524,N/A,,Netflix,$593.98 ,837.56 INR,fitness,Canada,,45
P4396,@finance_guru,Twitter,text,6-Apr-23,231484,,,,yes,Google,"USD 4,565.01","USD 1,351.74",finance,India,1.2M,9999
P8849,@finance_guru,YouTube,image,12/11/2023,,,,N/A,yes,Nike,"$1,403.61 ","1,086.38 INR",travel,UK,1.2M,9999
P3587,@johndoe,YouTube,text,8/25/2024,48816,,,N/A,no,Apple,"₹3,717",1339.66793,fashion,USA,10k,49
P5742,@travelwithsam,LinkedIn,video,3/16/2022,1892662,,,,no,Samsung,"$1,639.78 ",178.921441,fashion,USA,500,13
P4050,@alex,Twitter,text,11/29/2022,43286,,872,,Yes,Google,1458.580179,"₹1,779",finance,UK,1.2M,9999
P4858,@alex,Instagram,text,5/24/2023,1687261,,,8.56,no,Samsung,918.70 INR,"$1,030.56 ",food,United States,1.2M,
P4618,@finance_guru,TikTok,text,29-Aug-22,,,,N/A,,Adidas,USD 106.61,$124.25 ,food,United States,1.2M,9999
P9281,@johndoe,LinkedIn,text,6/9/2022,36939,,1819,N/A,no,Netflix,1899.442968,"₹1,515",fashion,U.S.,3622081,9999
P6049,@johndoe,Instagram,reel,7/24/2024,940530,3577,1390,N/A,,Samsung,"₹2,237",977.6559337,food,Australia,,
P8348,@alex,Twitter,video,10/5/2022,,,1174,N/A,no,CocaCola,411.50 INR,$127.52 ,tech,USA,1.2M,
P8546,@travelwithsam,Instagram,reel,12/25/2024,,2982,397,,,Sony,637.2341781,₹255,tech,UK,10k,58
P1724,@sarah123,YouTube,image,7/3/2024,9348,,234,N/A,,Apple,"$3,839.18 ",$838.48 ,fashion,U.S.,10k,9999
P5508,@travelwithsam,LinkedIn,video,14/09/2025,,953,491,11.34,yes,Google,USD 743.67,1832.794066,travel,U.K.,500,
P3365,@alex,YouTube,reel,9/5/2023,1326380,1191,,8.38,No,Adidas,"4,862.84 INR",637.47 INR,food,UK,1.2M,9999
P1647,@finance_guru,Instagram,image,7/4/2023,23322,,,8.4,No,Nkie,"USD 1,972.67","1,293.41 INR",travel,Germany,,9999
P5637,@alex_99,Twitter,video,23/03/2024,26962,1388,,,,Nkie,"$1,550.78 ",$380.05 ,fitness,India,,
P3390,@travelwithsam,Twitter,text,4/27/2024,,,,N/A,yes,Google,"4,419.92 INR",,fitness,U.K.,,6
P4015,@alex,Twitter,text,13/12/2022,,,,,No,Sony,1188.592199,USD 998.60,travel,Australia,,
P8916,@techietom,YouTube,reel,2/4/2024,1791738,713,1881,12.6,,Google,"$4,728.68 ",₹825,tech,USA,,9999
P7502,@finance_guru,Instagram,video,29-Jan-23,15485,4268,,N/A,No,Netflix,3624.853972,34.29 INR,fashion,U.S.,1.2M,
P9189,@alex_99,Twitter,reel,4/25/2022,,,,N/A,,Adidas,"$1,167.99 ","$1,716.44 ",tech,Canada,10k,41
P3362,@travelwithsam,TikTok,video,10/7/2023,1987232,,347,13.43,Yes,TATA,1187.344161,$93.12 ,fitness,Germany,10k,9999
P6580,@travelwithsam,YouTube,image,7/20/2022,23960,,933,N/A,yes,Netflix,"4,181.52 INR","1,081.12 INR",fitness,U.S.,10k,6
P3526,@lifestylelina,YouTube,text,5/20/2023,1971403,,,,,Apple,"3,928.56 INR",711.62 INR,food,Canada,821552,
P2524,@travelwithsam,Instagram,reel,7/31/2022,1634837,3284,,4.82,no,Adidas,USD 503.03,"$1,522.69 ",fashion,United States,4926703,
P9079,@lifestylelina,LinkedIn,video,12-Oct-22,523570,,,,no,,"$1,969.61 ","₹1,119",finance,United States,1.2M,
P7224,@the_real_amy,LinkedIn,video,9/16/2023,38413,3486,,,Yes,Sony,"$2,446.95 ","1,888.44 INR",finance,India,500,
P6339,@sarah123,TikTok,text,7/20/2025,,,,N/A,yes,Adidas,"₹4,872","₹1,206",food,United States,,11
P9180,@travelwithsam,Instagram,reel,8/20/2023,,,,N/A,No,Nkie,1039.010241,,finance,Australia,500,9999
P9796,@the_real_amy,Twitter,reel,1/18/2025,1005588,,1371,3.86,,Netflix,"3,590.42 INR",,finance,Canada,1.2M,9999
P7408,@lifestylelina,Twitter,text,31/03/2023,1495385,539,731,N/A,Yes,Nike,"₹3,340",88.59 INR,travel,U.S.,500,
P8412,@finance_guru,TikTok,reel,12/15/2023,1693023,2508,,,No,Sony,567.52 INR,₹172,travel,U.K.,2180496,
P7636,@sarah123,YouTube,video,11/9/2023,34349,,389,12.17,,Samsung,USD 161.80,"₹1,354",fitness,Germany,500,51
P2867,@the_real_amy,TikTok,video,20-Jan-24,49407,,,N/A,Yes,TATA,"4,421.33 INR",₹778,fashion,U.S.,10k,
P3999,@jdoe,TikTok,text,30/08/2022,944573,,,N/A,No,,"$1,993.09 ",1691.035605,fashion,U.S.,1.2M,56
P8389,@sarah123,LinkedIn,reel,15/08/2023,1773361,223,,6.33,No,Netflix,"2,895.29 INR",,fitness,United States,10k,
P4683,@lifestylelina,Twitter,image,28-Mar-23,23833,,826,7.32,Yes,Samsung,4085.318906,989.94 INR,food,Australia,1383694,
P1528,@techietom,LinkedIn,video,5/20/2024,,1633,,,no,Gogle,"$2,771.14 ",535.7778188,travel,USA,10k,
P6747,@finance_guru,LinkedIn,video,28/02/2023,,,475,6.64,,Samsung,"₹3,889","USD 1,475.23",fitness,Canada,1722820,9999
P7434,@techietom,Twitter,video,27/05/2023,,1460,,,No,CocaCola,"USD 1,482.20","$1,028.83 ",fashion,USA,1.2M,19
P7516,@finance_guru,Twitter,image,27-Jul-24,13456,,,5.69,Yes,TATA,"$3,186.46 ","USD 1,499.60",food,U.K.,3032256,9999
P8479,@johndoe,TikTok,reel,2/3/2022,,4976,,,Yes,Nike,1721.888018,,food,USA,10k,
P2494,@alex,TikTok,image,22-Mar-24,,1574,153,,No,Pepsi,USD 836.94,,travel,U.S.,10k,
P2463,@alex_99,TikTok,video,9/5/2024,43125,3962,,N/A,no,Adiddas,"1,169.64 INR",,fitness,U.S.,10k,
P8248,@alex_99,LinkedIn,reel,21/12/2023,8427,,,13.23,No,TATA,"₹1,944","$1,354.27 ",finance,USA,10k,
P9348,@johndoe,TikTok,text,24-Feb-22,22928,2814,1326,N/A,,Google,"USD 3,663.55",₹629,fashion,U.S.,10k,9999
P3830,@johndoe,Instagram,reel,3/10/2025,926196,,,9.73,No,Pepsi,"$2,499.69 ","$1,276.16 ",finance,U.K.,1.2M,9999
P6077,@finance_guru,LinkedIn,image,4/8/2025,15781,4859,737,0.31,no,Adidas,$247.14 ,USD 795.95,fitness,Canada,1.2M,50
P3877,@alex_99,YouTube,reel,6/7/2025,762301,1358,858,,Yes,Adidas,"$2,952.86 ",₹875,tech,U.S.,1.2M,9999
P5308,@alex_99,TikTok,text,29-May-24,17715,4261,1504,,Yes,Gogle,"USD 2,638.88",,fashion,U.S.,,15
P5006,@lifestylelina,TikTok,video,11/8/2024,170390,3177,,,Yes,TATA,324.4235987,,fashion,U.S.,1616452,5
P1862,@alex,TikTok,text,9-Jun-22,,,,13.81,yes,Adidas,"$4,659.24 ","1,827.90 INR",fashion,India,1265540,9999
P4201,@the_real_amy,YouTube,video,8-Aug-24,19963,3031,,,yes,TATA,"USD 4,336.86","$1,106.18 ",travel,UK,,
P1981,@techietom,Instagram,image,25/02/2023,4300,3818,42,13.99,yes,Adiddas,"USD 1,203.34","$1,386.92 ",travel,Canada,500,
P3141,@the_real_amy,Instagram,reel,6/3/2022,598870,,1935,0.75,No,Netflix,4491.572986,"1,791.16 INR",fitness,U.S.,500,9999
P2978,@johndoe,YouTube,video,7/9/2024,,,,,Yes,Samsung,"USD 3,518.59",$543.91 ,fashion,U.S.,1.2M,
P9412,@techietom,TikTok,video,6/7/2022,,4188,,,yes,Google,"$4,269.79 ",,fitness,USA,1.2M,
P4246,@alex,Instagram,image,1/25/2022,1565746,,,12.32,No,Apple,203.86 INR,1111.907523,fashion,Australia,10k,21
P8096,@travelwithsam,Twitter,image,3/29/2022,,523,,13.77,yes,Apple,$157.91 ,,fitness,United States,4246549,49
P5583,@travelwithsam,LinkedIn,reel,4/23/2024,,2296,,10.28,yes,,"₹1,802",₹892,tech,India,4068972,22
P6224,@travelwithsam,LinkedIn,text,6-Mar-24,10478,,830,N/A,,Pepsi,1283.281388,"USD 1,978.81",food,Australia,10k,17
P3885,@lifestylelina,YouTube,video,3/25/2025,29721,2055,,,Yes,Netflix,2670.689845,"$1,947.96 ",fashion,UK,1.2M,52
P4584,@johndoe,Twitter,reel,3/19/2022,1624350,,,13.72,No,CocaCola,"USD 3,532.09",1127.212974,fashion,Germany,4584397,28
P7481,@alex,Instagram,image,13-Dec-24,167661,,1409,N/A,No,TATA,"₹1,047",USD 354.92,tech,United States,2078507,
P3911,@lifestylelina,LinkedIn,video,14-Feb-24,5126,,,4.91,,Google,"3,675.14 INR","USD 1,921.32",fashion,U.K.,1.2M,45
P1186,@alex,TikTok,text,12/10/2022,713157,,1038,,yes,Google,4609.139171,"1,131.10 INR",fashion,U.S.,1.2M,
P4695,@jdoe,Twitter,reel,7/27/2022,10267,1062,1976,5.32,,Pepsi,"$3,616.05 ","₹1,465",food,Canada,,9999
P3703,@the_real_amy,Twitter,image,11/24/2023,,125,811,,Yes,Nkie,"$1,342.58 ",,fashion,United States,3413004,
P6911,@lifestylelina,TikTok,image,3/15/2024,,1603,1417,1.61,Yes,Google,"4,873.27 INR",1444.076209,travel,UK,10k,41
P5341,@alex,YouTube,image,9/24/2023,,4206,,N/A,no,Apple,"₹3,021",,fashion,UK,500,
P6632,@alex_99,Twitter,image,11/6/2022,570951,,612,,yes,Google,"1,878.54 INR",,food,UK,573235,9999
P3832,@techietom,Twitter,image,25/10/2024,,876,1989,N/A,no,Apple,2122.228771,1872.722871,fashion,UK,1315032,
P5525,@the_real_amy,TikTok,image,3/5/2024,27285,1733,1605,0.74,Yes,Nkie,"4,941.99 INR","₹1,645",finance,U.K.,,
P8955,@techietom,LinkedIn,text,21-Apr-24,,3735,,1.78,yes,Gogle,783.5887194,"$1,929.66 ",tech,U.S.,500,9999
P6094,@lifestylelina,YouTube,text,2/2/2024,856254,,228,,no,Nkie,762.0707196,803.44 INR,travel,USA,1.2M,
P3604,@jdoe,Twitter,reel,23-Nov-24,,467,1755,N/A,no,Adiddas,"USD 2,243.40",$833.55 ,fashion,India,1171959,9999
P8605,@alex_99,Instagram,image,9/1/2024,,,946,N/A,no,Nike,"$4,402.70 ",,fashion,India,1.2M,
P3669,@techietom,TikTok,image,8/7/2023,,1141,835,,yes,Adiddas,"₹2,991",949.1645781,travel,United States,500,33
P5511,@lifestylelina,Instagram,image,4-Apr-23,45587,4654,0,,No,Samsung,3275.357298,,fitness,Australia,,
P6509,@travelwithsam,LinkedIn,text,9/4/2023,,,,,,Netflix,1545.618202,$794.31 ,tech,U.K.,500,13
P1417,@jdoe,YouTube,reel,14-Sep-25,382272,,,N/A,,Gogle,"USD 4,763.33",,finance,USA,10k,9999
P8713,@finance_guru,LinkedIn,text,15/12/2022,,,,N/A,yes,,224.8290739,₹686,fitness,Australia,1.2M,13
P2166,@the_real_amy,TikTok,text,8/7/2024,1406241,,320,,,CocaCola,"₹3,289","USD 1,488.42",food,U.K.,500,37
P6449,@finance_guru,TikTok,video,10/10/2023,43336,2958,,,no,TATA,₹318,,fashion,Canada,2719769,
P1618,@the_real_amy,LinkedIn,reel,5/28/2024,,1118,1840,6.84,no,,"₹3,818",$316.87 ,fashion,Canada,500,44
P5764,@techietom,YouTube,text,12/9/2022,42929,,375,N/A,,Adidas,$993.35 ,USD 497.65,travel,U.S.,2985918,
P1612,@finance_guru,YouTube,video,14/02/2022,1484418,,,13.33,No,Nkie,"1,746.53 INR",376.85 INR,tech,India,3807003,
P1152,@travelwithsam,Twitter,text,29/08/2024,1235964,,872,8.95,Yes,Adidas,"$3,326.75 ",,tech,Australia,10k,9999
P7713,@jdoe,Instagram,video,23/06/2023,,1314,,N/A,,Google,$728.96 ,"USD 1,235.40",tech,Australia,1.2M,9999
P5850,@jdoe,LinkedIn,image,27-Jul-22,19282,77,,N/A,Yes,Samsung,"USD 4,668.97",$25.50 ,tech,Australia,10k,
P5395,@jdoe,Instagram,video,5-Nov-23,,2343,1863,12.22,No,Adiddas,"USD 4,268.63",$625.41 ,tech,USA,500,9999
P8178,@alex_99,YouTube,video,8/1/2022,,,142,,Yes,Samsung,"USD 4,813.43","1,379.80 INR",food,U.S.,,
P9570,@the_real_amy,Instagram,image,10/12/2024,611937,,,N/A,yes,CocaCola,"₹4,406",976.25 INR,food,U.S.,1.2M,9999
P6253,@lifestylelina,LinkedIn,reel,12/10/2024,4018,,197,N/A,No,Nike,"3,397.66 INR",,finance,USA,1628281,
P1291,@johndoe,Twitter,reel,10/10/2023,,,477,N/A,no,Adiddas,"3,234.42 INR",157.66 INR,finance,U.S.,500,9999
P8751,@alex_99,YouTube,image,4/2/2023,,,996,8.4,yes,Pepsi,4138.248354,1275.076245,finance,Australia,1.2M,9999
P7704,@sarah123,LinkedIn,image,12/3/2022,945633,,1658,N/A,Yes,Nkie,"USD 1,147.65","USD 1,267.32",finance,U.K.,10k,9999
P9689,@alex_99,LinkedIn,reel,10/9/2025,,4910,227,,no,Gogle,"₹1,117",215.53 INR,tech,U.S.,500,52
P6617,@alex,LinkedIn,reel,1/6/2025,1539758,,,13.87,no,Netflix,"₹3,474",256.76 INR,fitness,U.K.,1.2M,
P9888,@jdoe,LinkedIn,text,9/12/2023,,3756,129,N/A,No,Google,4437.862434,"USD 1,402.99",fitness,India,10k,9999
P1927,@sarah123,Twitter,image,20/02/2024,532882,1955,,N/A,Yes,Netflix,"2,874.66 INR",1787.732003,travel,USA,2693255,9999
P7349,@johndoe,Instagram,reel,2-May-23,,2597,,10.28,No,Adiddas,"USD 4,204.94","USD 1,082.34",food,Germany,1979579,
P3847,@travelwithsam,LinkedIn,text,8/7/2024,1525753,,362,,No,Gogle,"1,055.28 INR","USD 1,822.97",finance,India,4328319,26
P6866,@techietom,YouTube,image,4-Jul-25,10380,,984,N/A,yes,Samsung,"₹1,358",USD 510.03,food,USA,500,9999
P5809,@alex_99,LinkedIn,video,13-Mar-23,330203,,1483,N/A,yes,Apple,387.4735221,,finance,Canada,1.2M,
P7143,@johndoe,TikTok,reel,10-Jun-23,1653731,,1828,,Yes,Gogle,2256.052869,$487.65 ,fitness,Canada,891195,9999
P4368,@techietom,YouTube,image,8/3/2023,600315,,,N/A,Yes,Netflix,1002.93632,,tech,Germany,500,51
P7357,@techietom,Instagram,image,23/03/2025,1143917,,1320,11.23,yes,Gogle,USD 167.58,,tech,United States,1.2M,
