post_id,username,platform,post_type,post_date,likes,comments,shares,engagement_rate,sponsorship,brand_name,revenue_generated,ad_spent,category,region,follower_count,campaign_duration_days
P2771,@johndoe,YouTube,text,2024-04-23,1450224.0,391.0,1698.0,None,No,Nike,49.892583408476106,16.89585211902615,fashion,Canada,1200000.0,33.0
P1452,@travelwithsam,TikTok,text,2025-06-08,12666.0,None,230.0,None,Yes,Google,20.07439134355275,14.87905770964833,travel,Usa,None,None
P2146,@alex_99,LinkedIn,reel,2022-01-04,None,4875.0,None,None,Yes,Cocacola,2201.09,1968.47,food,India,1200000.0,None
P1006,@sarah123,YouTube,video,2025-06-14,1750237.0,None,98.0,None,No,None,28.857754733994593,1394.416828,fashion,Canada,500.0,9999.0
P4262,@jdoe,YouTube,text,2022-07-11,None,2690.0,None,None,None,Cocacola,37.091862037871955,1351.254466,food,Usa,1200000.0,26.0
P4585,@the_real_amy,Twitter,video,2025-05-09,33270.0,870.0,794.0,None,No,Adidas,4256.2,1772.273818,fashion,Australia,122909.0,None
P5050,@the_real_amy,Twitter,reel,2022-11-22,1198591.0,None,1264.0,8.41,None,Adidas,26.031221821460772,1975.784906,travel,Germany,500.0,None
P6421,@jdoe,YouTube,video,2023-03-15,1559933.0,None,1194.0,4.19,No,Google,40.37421100090172,639.4191368,tech,Usa,500.0,None
P5471,@techietom,Twitter,reel,2024-05-08,None,None,1109.0,None,Yes,Pepsi,1977.910223,39.06391348,food,Usa,500.0,42.0
P3977,@travelwithsam,Instagram,image,2022-06-21,None,3060.0,None,None,None,Tata,45.09693417493237,1839.083241,finance,Canada,10000.0,None
P1659,@alex,Instagram,image,2023-12-18,None,None,None,None,None,Nike,19.393935978358883,21.44285392245266,travel,Australia,542835.0,9999.0
P7149,@alex,YouTube,text,2022-10-08,10230.0,3302.0,189.0,9.36,No,Google,674.79,435.93,travel,Usa,1200000.0,9999.0
P9031,@travelwithsam,Instagram,text,2022-05-22,1603165.0,2675.0,972.0,None,No,Netflix,1252.1,1200.82,finance,Uk,403190.0,None
P8385,@alex_99,Twitter,text,2023-10-23,None,None,None,None,None,Adidas,921.8779574,540.1647928,food,Canada,4423380.0,None
P4937,@johndoe,TikTok,video,2022-06-25,None,None,None,None,None,Nike,10.707844905320108,516.7,finance,Germany,500.0,None
P8434,@finance_guru,Twitter,reel,2025-02-01,1741704.0,None,None,11.91,Yes,Netflix,16.980049594229037,612.4120603,travel,Germany,1200000.0,9999.0
P6912,@jdoe,Twitter,text,2022-07-25,None,None,1533.0,1.9,None,Nike,1611.962323,15.554553651938683,fashion,Uk,1200000.0,2.0
P8827,@the_real_amy,LinkedIn,reel,2023-11-29,None,1636.0,1648.0,4.19,No,Sony,31.435978358881876,1505.58,tech,Uk,4965550.0,None
P8381,@alex_99,TikTok,reel,2025-05-26,28673.0,None,None,None,Yes,Google,38.86384129846709,None,finance,Usa,None,None
P8699,@finance_guru,Instagram,image,2022-11-17,None,None,None,8.57,No,Google,3067.67,4.6889089269612265,travel,Usa,500.0,None
P2169,@jdoe,YouTube,video,2025-08-19,4931.0,202.0,None,None,None,Apple,4305.05,1847.822089,fitness,Canada,1200000.0,24.0
P1339,@alex,Instagram,text,2022-02-22,40772.0,None,None,None,Yes,Adidas,38.98737601442741,11.282010820559062,food,Usa,10000.0,9999.0
P2713,@jdoe,Twitter,text,2024-04-16,1566976.0,3272.0,1147.0,None,No,Apple,2239.04,None,finance,Australia,1200000.0,9999.0
P7770,@the_real_amy,TikTok,reel,2024-11-19,None,None,None,None,Yes,Pepsi,4077.151872,None,tech,Uk,None,None
P7684,@alex,Twitter,video,2022-11-21,34754.0,None,None,9.42,Yes,Apple,1057.61328,None,travel,Australia,None,7.0
P3236,@alex_99,Twitter,video,2024-02-25,18227.0,2976.0,None,None,No,Google,46.991771866546436,583.72,food,Australia,None,9999.0
P7180,@alex_99,Twitter,reel,2023-12-08,None,None,None,None,None,Sony,1372.5,597.1116995,finance,Usa,None,9999.0
P6439,@finance_guru,Twitter,reel,2022-03-17,None,4061.0,1321.0,8.62,No,Adidas,48.323489630297566,None,fitness,Canada,None,9999.0
P8994,@alex_99,TikTok,text,2024-12-28,None,623.0,None,0.33,Yes,None,23.43327321911632,None,travel,Canada,1200000.0,9999.0
P8056,@techietom,YouTube,text,2022-04-25,2049.0,3723.0,452.0,None,Yes,Nike,4987.26,196.89,food,Uk,1200000.0,None
P9955,@the_real_amy,YouTube,reel,2023-07-06,7158.0,None,1682.0,2.63,Yes,None,34.56920649233544,481.6595837,fashion,Australia,500.0,None
P5837,@the_real_amy,Twitter,reel,2025-03-17,4499.0,None,None,None,No,Apple,36.21224075743913,913.67,fashion,Australia,None,None
P1645,@alex,LinkedIn,text,2025-09-12,891971.0,None,None,None,No,Google,3902.64,1490.34,fashion,Uk,4124999.0,9999.0
P6549,@jdoe,TikTok,video,2023-11-06,None,98.0,None,11.01,Yes,Netflix,4552.66,3.956266907123535,finance,Germany,1200000.0,9999.0
P7242,@alex_99,Twitter,image,2024-07-20,None,4433.0,1729.0,11.34,None,Cocacola,48.55387736699729,1609.18,tech,Usa,1200000.0,9999.0
P2592,@sarah123,TikTok,image,2022-03-18,46760.0,160.0,None,None,No,Apple,1673.631095,1.4250450856627594,fitness,Canada,500.0,14.0
P8285,@johndoe,Instagram,text,2022-03-09,580047.0,3987.0,None,None,No,Tata,4749.434804,16.7380522993688,food,Australia,10000.0,None
P4394,@johndoe,YouTube,video,2022-09-15,None,4735.0,None,None,Yes,Nike,20.575293056807936,21.826082055906223,tech,Usa,4302254.0,9999.0
P5347,@lifestylelina,Instagram,video,2025-04-20,45525.0,1045.0,None,None,Yes,Nike,0.721370604147881,12.173128944995492,tech,Usa,116881.0,38.0
P7580,@alex,LinkedIn,text,2024-07-27,47333.0,None,437.0,None,None,Nike,2268.96,218.10802,fashion,Usa,1199886.0,None
P8048,@travelwithsam,LinkedIn,reel,2025-05-08,940477.0,959.0,None,None,Yes,Nike,413.78,3.3476104598737604,travel,Germany,500.0,9999.0
P8075,@alex_99,TikTok,reel,2022-05-18,730271.0,16.0,1195.0,6.51,No,Pepsi,23.651713255184852,1459.23,food,Uk,4318927.0,30.0
P4485,@alex_99,Twitter,text,2023-12-22,1231565.0,None,517.0,None,None,Cocacola,4785.291888,244.46,fitness,Usa,None,9999.0
P5477,@the_real_amy,LinkedIn,image,2025-06-01,511927.0,None,496.0,None,No,Google,4234.6,None,travel,India,131873.0,53.0
P3578,@jdoe,Instagram,video,2024-10-02,None,None,992.0,2.8,None,Nike,32.1606176735798,None,fitness,Usa,500.0,None
P4531,@sarah123,TikTok,reel,2025-05-28,None,None,1279.0,13.26,No,None,829.1789907,None,tech,Australia,500.0,None
P6375,@techietom,LinkedIn,text,2023-03-09,34584.0,None,None,None,No,Nike,38.418733092876465,6.954463480613165,food,Usa,1200000.0,None
P7626,@alex_99,Twitter,reel,2022-06-09,45681.0,None,None,None,Yes,Adidas,30.27502254283138,1666.71,tech,Usa,None,None
P6562,@travelwithsam,Twitter,reel,2024-09-12,None,4057.0,None,None,No,Google,900.7722439,1379.22,tech,Usa,500.0,None
P9095,@johndoe,Instagram,video,2025-05-18,None,4341.0,1199.0,7.71,No,Cocacola,30.162308385933272,7.8787195671776376,fashion,Usa,368154.0,29.0
P8404,@finance_guru,TikTok,text,2024-05-11,1298838.0,None,None,None,Yes,Tata,18.202096483318307,None,food,Uk,1200000.0,None
P2695,@alex,LinkedIn,reel,2024-10-23,10647.0,None,None,1.24,None,Pepsi,3094.291523,1160.66,food,India,4043287.0,None
P2548,@sarah123,TikTok,image,2025-07-16,701863.0,4495.0,653.0,None,Yes,Adidas,24.98760144274121,1219.61,travel,Canada,449482.0,None
P7171,@techietom,YouTube,video,2025-03-05,1180673.0,None,None,None,No,Cocacola,4823.829642,666.7240721,fitness,Uk,1200000.0,9999.0
P3147,@sarah123,YouTube,text,2022-07-27,28312.0,574.0,None,7.68,Yes,Samsung,20.79576194770063,7.70356176735798,fashion,Usa,1200000.0,9999.0
P4178,@lifestylelina,YouTube,reel,2023-04-25,None,1715.0,681.0,None,Yes,Tata,43.58656447249775,87.38,fitness,Australia,1200000.0,None
P5670,@sarah123,TikTok,text,2025-09-02,561243.0,None,None,None,No,None,28.62252028854824,1633.782479,fashion,Usa,None,44.0
P4678,@alex_99,Instagram,text,2023-04-28,48747.0,None,None,13.59,No,Nike,4163.68,5.005410279531109,travel,Canada,4384211.0,None
P9647,@alex,LinkedIn,text,2023-03-18,None,4364.0,None,11.89,Yes,Apple,2.700631199278629,3.1288322813345353,food,Usa,None,9999.0
P6780,@travelwithsam,LinkedIn,video,2022-10-22,18077.0,None,119.0,4.59,None,None,1230.275542,2.499098286744815,finance,Usa,500.0,26.0
P7338,@johndoe,LinkedIn,image,2024-10-03,1180793.0,None,1853.0,10.0,None,Google,2641.25,None,finance,Germany,183562.0,9999.0
P2033,@sarah123,Instagram,video,2024-09-08,None,1664.0,None,None,Yes,Netflix,1243.57,1470.37,fashion,Uk,10000.0,1.0
P3039,@finance_guru,TikTok,text,2024-02-01,46175.0,None,1624.0,0.75,No,Google,4434.66,1030.767179,food,Usa,1200000.0,None
P2311,@sarah123,Instagram,video,2025-01-22,None,None,None,None,No,Apple,19.47700631199279,995.046785,travel,Canada,1200000.0,5.0
P3621,@sarah123,Twitter,image,2025-07-29,352764.0,None,None,None,Yes,None,24.33802975653742,84.71,finance,Uk,1200000.0,9999.0
P7521,@alex,YouTube,reel,2022-06-07,13284.0,None,1308.0,1.98,Yes,Pepsi,3903.65,1898.93,finance,Australia,None,None
P2213,@sarah123,TikTok,text,2024-10-02,965264.0,None,1773.0,14.41,None,Google,41.60944544634806,1827.09,travel,Australia,4273585.0,52.0
P1430,@finance_guru,YouTube,image,2023-02-16,29124.0,None,217.0,None,No,Netflix,3355.81,580.72,fashion,Uk,10000.0,None
P8632,@sarah123,Twitter,image,2022-09-14,1604544.0,None,None,None,No,Adidas,692.37,None,food,Germany,289290.0,None
P4216,@techietom,YouTube,text,2024-11-28,None,2849.0,1203.0,11.54,No,Nike,2191.46,1036.2,fashion,Uk,3693805.0,None
P5336,@techietom,LinkedIn,image,2022-02-28,None,2816.0,None,9.25,None,Adidas,28.606853020739404,13.086113615870154,fitness,Uk,2107192.0,9999.0
P4342,@johndoe,Twitter,video,2024-06-19,651951.0,None,335.0,None,Yes,Nike,2750.61,18.13999098286745,travel,Usa,500.0,None
P3308,@sarah123,LinkedIn,reel,2022-09-08,1501727.0,3546.0,None,None,No,Pepsi,3684.29,261.53,finance,Usa,500.0,33.0
P7442,@alex_99,YouTube,reel,2023-09-24,4000.0,None,None,None,No,Netflix,14.41614066726781,1867.5,fashion,Australia,251992.0,12.0
P6995,@techietom,LinkedIn,reel,2022-10-02,None,3913.0,1066.0,8.79,Yes,Adidas,3.3834535617673582,19.000225428313797,travel,Usa,1200000.0,None
P3363,@alex,LinkedIn,reel,2024-02-04,None,3373.0,1921.0,None,Yes,Samsung,413.9821612,1099.714179,fitness,Usa,None,None
P9721,@johndoe,TikTok,text,2025-04-30,651638.0,None,89.0,0.78,No,Samsung,40.377366997294864,297.8813292,fashion,Uk,None,9999.0
P7229,@finance_guru,Twitter,video,2022-04-16,1486073.0,None,None,None,None,None,1689.64,1167.4,finance,Uk,10000.0,9999.0
P6325,@the_real_amy,YouTube,reel,2022-05-08,103267.0,825.0,1524.0,None,None,Netflix,593.98,9.4404869251578,fitness,Canada,None,45.0
P4396,@finance_guru,Twitter,text,2023-04-06,231484.0,None,None,None,Yes,Google,4565.01,1351.74,finance,India,1200000.0,9999.0
P8849,@finance_guru,YouTube,image,2023-11-12,None,None,None,None,Yes,Nike,1403.61,12.245040577096484,travel,Uk,1200000.0,9999.0
P3587,@johndoe,YouTube,text,2024-08-25,48816.0,None,None,None,No,Apple,41.89585211902615,1339.66793,fashion,Usa,10000.0,49.0
P5742,@travelwithsam,LinkedIn,video,2022-03-16,1892662.0,None,None,None,No,Samsung,1639.78,178.921441,fashion,Usa,500.0,13.0
P4050,@alex,Twitter,text,2022-11-29,43286.0,None,872.0,None,Yes,Google,1458.580179,20.05184851217313,finance,Uk,1200000.0,9999.0
P4858,@alex,Instagram,text,2023-05-24,1687261.0,None,None,8.56,No,Samsung,10.355049594229035,1030.56,food,Usa,1200000.0,None
P4618,@finance_guru,TikTok,text,2022-08-29,None,None,None,None,None,Adidas,106.61,124.25,food,Usa,1200000.0,9999.0
P9281,@johndoe,LinkedIn,text,2022-09-06,36939.0,None,1819.0,None,No,Netflix,1899.442968,17.076194770063122,fashion,Usa,3622081.0,9999.0
P6049,@johndoe,Instagram,reel,2024-07-24,940530.0,3577.0,1390.0,None,None,Samsung,25.214156898106403,977.6559337,food,Australia,None,None
P8348,@alex,Twitter,video,2022-05-10,None,None,1174.0,None,No,Cocacola,4.638187556357079,127.52,tech,Usa,1200000.0,None
P8546,@travelwithsam,Instagram,reel,2024-12-25,None,2982.0,397.0,None,None,Sony,637.2341781,2.874211000901713,tech,Uk,10000.0,58.0
P1724,@sarah123,YouTube,image,2024-03-07,9348.0,None,234.0,None,None,Apple,3839.18,838.48,fashion,Usa,10000.0,9999.0
P5508,@travelwithsam,LinkedIn,video,2025-09-14,None,953.0,491.0,11.34,Yes,Google,743.67,1832.794066,travel,Uk,500.0,None
P3365,@alex,YouTube,reel,2023-05-09,1326380.0,1191.0,None,8.38,No,Adidas,54.811091073038774,7.185189359783589,food,Uk,1200000.0,9999.0
P1647,@finance_guru,Instagram,image,2023-04-07,23322.0,None,None,8.4,No,Nike,1972.67,14.578561767357982,travel,Germany,None,9999.0
P5637,@alex_99,Twitter,video,2024-03-23,26962.0,1388.0,None,None,None,Nike,1550.78,380.05,fitness,India,None,None
P3390,@travelwithsam,Twitter,text,2024-04-27,None,None,None,None,Yes,Google,49.818755635707845,None,fitness,Uk,None,6.0
P4015,@alex,Twitter,text,2022-12-13,None,None,None,None,No,Sony,1188.592199,998.6,travel,Australia,None,None
P8916,@techietom,YouTube,reel,2024-04-02,1791738.0,713.0,1881.0,12.6,None,Google,4728.68,9.298917944093779,tech,Usa,None,9999.0
P7502,@finance_guru,Instagram,video,2023-01-29,15485.0,4268.0,None,None,No,Netflix,3624.853972,0.38649684400360684,fashion,Usa,1200000.0,None
P9189,@alex_99,Twitter,reel,2022-04-25,None,None,None,None,None,Adidas,1167.99,1716.44,tech,Canada,10000.0,41.0
P3362,@travelwithsam,TikTok,video,2023-07-10,1987232.0,None,347.0,13.43,Yes,Tata,1187.344161,93.12,fitness,Germany,10000.0,9999.0
P6580,@travelwithsam,YouTube,image,2022-07-20,23960.0,None,933.0,None,Yes,Netflix,47.131650135257,12.185752930568079,fitness,Usa,10000.0,6.0
P3526,@lifestylelina,YouTube,text,2023-05-20,1971403.0,None,None,None,None,Apple,44.28043282236249,8.020964833183047,food,Canada,821552.0,None
P2524,@travelwithsam,Instagram,reel,2022-07-31,1634837.0,3284.0,None,4.82,No,Adidas,503.03,1522.69,fashion,Usa,4926703.0,None
P9079,@lifestylelina,LinkedIn,video,2022-10-12,523570.0,None,None,None,No,None,1969.61,12.612714156898107,finance,Usa,1200000.0,None
P7224,@the_real_amy,LinkedIn,video,2023-09-16,38413.0,3486.0,None,None,Yes,Sony,2446.95,21.285392245266006,finance,India,500.0,None
P6339,@sarah123,TikTok,text,2025-07-20,None,None,None,None,Yes,Adidas,54.91433724075744,13.593327321911632,food,Usa,None,11.0
P9180,@travelwithsam,Instagram,reel,2023-08-20,None,None,None,None,No,Nike,1039.010241,None,finance,Australia,500.0,9999.0
P9796,@the_real_amy,Twitter,reel,2025-01-18,1005588.0,None,1371.0,3.86,None,Netflix,40.46911632100992,None,finance,Canada,1200000.0,9999.0
P7408,@lifestylelina,Twitter,text,2023-03-31,1495385.0,539.0,731.0,None,Yes,Nike,37.64652840396754,0.9985347159603246,travel,Usa,500.0,None
P8412,@finance_guru,TikTok,reel,2023-12-15,1693023.0,2508.0,None,None,No,Sony,6.396753832281334,1.9386834986474302,travel,Uk,2180496.0,None
P7636,@sarah123,YouTube,video,2023-09-11,34349.0,None,389.0,12.17,None,Samsung,161.8,15.261496844003608,fitness,Germany,500.0,51.0
P2867,@the_real_amy,TikTok,video,2024-01-20,49407.0,None,None,None,Yes,Tata,49.83464833183048,8.769161406672678,fashion,Usa,10000.0,None
P3999,@jdoe,TikTok,text,2022-08-30,944573.0,None,None,None,No,None,1993.09,1691.035605,fashion,Usa,1200000.0,56.0
P8389,@sarah123,LinkedIn,reel,2023-08-15,1773361.0,223.0,None,6.33,No,Netflix,32.63401713255185,None,fitness,Usa,10000.0,None
P4683,@lifestylelina,Twitter,image,2023-03-28,23833.0,None,826.0,7.32,Yes,Samsung,4085.318906,11.158025247971146,food,Australia,1383694.0,None
P1528,@techietom,LinkedIn,video,2024-05-20,None,1633.0,None,None,No,Google,2771.14,535.7778188,travel,Usa,10000.0,None
P6747,@finance_guru,LinkedIn,video,2023-02-28,None,None,475.0,6.64,None,Samsung,43.83453561767358,1475.23,fitness,Canada,1722820.0,9999.0
P7434,@techietom,Twitter,video,2023-05-27,None,1460.0,None,None,No,Cocacola,1482.2,1028.83,fashion,Usa,1200000.0,19.0
P7516,@finance_guru,Twitter,image,2024-07-27,13456.0,None,None,5.69,Yes,Tata,3186.46,1499.6,food,Uk,3032256.0,9999.0
P8479,@johndoe,TikTok,reel,2022-03-02,None,4976.0,None,None,Yes,Nike,1721.888018,None,food,Usa,10000.0,None
P2494,@alex,TikTok,image,2024-03-22,None,1574.0,153.0,None,No,Pepsi,836.94,None,travel,Usa,10000.0,None
P2463,@alex_99,TikTok,video,2024-05-09,43125.0,3962.0,None,None,No,Adidas,13.183498647430119,None,fitness,Usa,10000.0,None
P8248,@alex_99,LinkedIn,reel,2023-12-21,8427.0,None,None,13.23,No,Tata,21.911632100991884,1354.27,finance,Usa,10000.0,None
P9348,@johndoe,TikTok,text,2022-02-24,22928.0,2814.0,1326.0,None,None,Google,3663.55,7.089720468890893,fashion,Usa,10000.0,9999.0
P3830,@johndoe,Instagram,reel,2025-10-03,926196.0,None,None,9.73,No,Pepsi,2499.69,1276.16,finance,Uk,1200000.0,9999.0
P6077,@finance_guru,LinkedIn,image,2025-08-04,15781.0,4859.0,737.0,0.31,No,Adidas,247.14,795.95,fitness,Canada,1200000.0,50.0
P3877,@alex_99,YouTube,reel,2025-07-06,762301.0,1358.0,858.0,None,Yes,Adidas,2952.86,9.86248872858431,tech,Usa,1200000.0,9999.0
P5308,@alex_99,TikTok,text,2024-05-29,17715.0,4261.0,1504.0,None,Yes,Google,2638.88,None,fashion,Usa,None,15.0
P5006,@lifestylelina,TikTok,video,2024-08-11,170390.0,3177.0,None,None,Yes,Tata,324.4235987,None,fashion,Usa,1616452.0,5.0
P1862,@alex,TikTok,text,2022-06-09,None,None,None,13.81,Yes,Adidas,4659.24,20.60302073940487,fashion,India,1265540.0,9999.0
P4201,@the_real_amy,YouTube,video,2024-08-08,19963.0,3031.0,None,None,Yes,Tata,4336.86,1106.18,travel,Uk,None,None
P1981,@techietom,Instagram,image,2023-02-25,4300.0,3818.0,42.0,13.99,Yes,Adidas,1203.34,1386.92,travel,Canada,500.0,None
P3141,@the_real_amy,Instagram,reel,2022-03-06,598870.0,None,1935.0,0.75,No,Netflix,4491.572986,20.18890892696123,fitness,Usa,500.0,9999.0
P2978,@johndoe,YouTube,video,2024-09-07,None,None,None,None,Yes,Samsung,3518.59,543.91,fashion,Usa,1200000.0,None
P9412,@techietom,TikTok,video,2022-07-06,None,4188.0,None,None,Yes,Google,4269.79,None,fitness,Usa,1200000.0,None
P4246,@alex,Instagram,image,2022-01-25,1565746.0,None,None,12.32,No,Apple,2.2977908025247973,1111.907523,fashion,Australia,10000.0,21.0
P8096,@travelwithsam,Twitter,image,2022-03-29,None,523.0,None,13.77,Yes,Apple,157.91,None,fitness,Usa,4246549.0,49.0
P5583,@travelwithsam,LinkedIn,reel,2024-04-23,None,2296.0,None,10.28,Yes,None,20.311091073038774,10.054102795311092,tech,India,4068972.0,22.0
P6224,@travelwithsam,LinkedIn,text,2024-03-06,10478.0,None,830.0,None,None,Pepsi,1283.281388,1978.81,food,Australia,10000.0,17.0
P3885,@lifestylelina,YouTube,video,2025-03-25,29721.0,2055.0,None,None,Yes,Netflix,2670.689845,1947.96,fashion,Uk,1200000.0,52.0
P4584,@johndoe,Twitter,reel,2022-03-19,1624350.0,None,None,13.72,No,Cocacola,3532.09,1127.212974,fashion,Germany,4584397.0,28.0
P7481,@alex,Instagram,image,2024-12-13,167661.0,None,1409.0,None,No,Tata,11.80117222723174,354.92,tech,Usa,2078507.0,None
P3911,@lifestylelina,LinkedIn,video,2024-02-14,5126.0,None,None,4.91,None,Google,41.42403065825067,1921.32,fashion,Uk,1200000.0,45.0
P1186,@alex,TikTok,text,2022-10-12,713157.0,None,1038.0,None,Yes,Google,4609.139171,12.749098286744815,fashion,Usa,1200000.0,None
P4695,@jdoe,Twitter,reel,2022-07-27,10267.0,1062.0,1976.0,5.32,None,Pepsi,3616.05,16.51262398557259,food,Canada,None,9999.0
P3703,@the_real_amy,Twitter,image,2023-11-24,None,125.0,811.0,None,Yes,Nike,1342.58,None,fashion,Usa,3413004.0,None
P6911,@lifestylelina,TikTok,image,2024-03-15,None,1603.0,1417.0,1.61,Yes,Google,54.9286519386835,1444.076209,travel,Uk,10000.0,41.0
P5341,@alex,YouTube,image,2023-09-24,None,4206.0,None,None,No,Apple,34.05094679891794,None,fashion,Uk,500.0,None
P6632,@alex_99,Twitter,image,2022-06-11,570951.0,None,612.0,None,Yes,Google,21.173805229936878,None,food,Uk,573235.0,9999.0
P3832,@techietom,Twitter,image,2024-10-25,None,876.0,1989.0,None,No,Apple,2122.228771,1872.722871,fashion,Uk,1315032.0,None
P5525,@the_real_amy,TikTok,image,2024-05-03,27285.0,1733.0,1605.0,0.74,Yes,Nike,55.703223624887286,18.541478809738503,finance,Uk,None,None
P8955,@techietom,LinkedIn,text,2024-04-21,None,3735.0,None,1.78,Yes,Google,783.5887194,1929.66,tech,Usa,500.0,9999.0
P6094,@lifestylelina,YouTube,text,2024-02-02,856254.0,None,228.0,None,No,Nike,762.0707196,9.055906221821461,travel,Usa,1200000.0,None
P3604,@jdoe,Twitter,reel,2024-11-23,None,467.0,1755.0,None,No,Adidas,2243.4,833.55,fashion,India,1171959.0,9999.0
P8605,@alex_99,Instagram,image,2024-01-09,None,None,946.0,None,No,Nike,4402.7,None,fashion,India,1200000.0,None
P3669,@techietom,TikTok,image,2023-07-08,None,1141.0,835.0,None,Yes,Adidas,33.712804328223626,949.1645781,travel,Usa,500.0,33.0
P5511,@lifestylelina,Instagram,image,2023-04-04,45587.0,4654.0,0.0,None,No,Samsung,3275.357298,None,fitness,Australia,None,None
P6509,@travelwithsam,LinkedIn,text,2023-04-09,None,None,None,None,None,Netflix,1545.618202,794.31,tech,Uk,500.0,13.0
P1417,@jdoe,YouTube,reel,2025-09-14,382272.0,None,None,None,None,Google,4763.33,None,finance,Usa,10000.0,9999.0
P8713,@finance_guru,LinkedIn,text,2022-12-15,None,None,None,None,Yes,None,224.8290739,7.732191163210099,fitness,Australia,1200000.0,13.0
P2166,@the_real_amy,TikTok,text,2024-07-08,1406241.0,None,320.0,None,None,Cocacola,37.071686203787195,1488.42,food,Uk,500.0,37.0
P6449,@finance_guru,TikTok,video,2023-10-10,43336.0,2958.0,None,None,No,Tata,3.5843101893597837,None,fashion,Canada,2719769.0,None
P1618,@the_real_amy,LinkedIn,reel,2024-05-28,None,1118.0,1840.0,6.84,No,None,43.034265103697024,316.87,fashion,Canada,500.0,44.0
P5764,@techietom,YouTube,text,2022-09-12,42929.0,None,375.0,None,None,Adidas,993.35,497.65,travel,Usa,2985918.0,None
P1612,@finance_guru,YouTube,video,2022-02-14,1484418.0,None,None,13.33,No,Nike,19.685865644724977,4.24763300270514,tech,India,3807003.0,None
P1152,@travelwithsam,Twitter,text,2024-08-29,1235964.0,None,872.0,8.95,Yes,Adidas,3326.75,None,tech,Australia,10000.0,9999.0
P7713,@jdoe,Instagram,video,2023-06-23,None,1314.0,None,None,None,Google,728.96,1235.4,tech,Australia,1200000.0,9999.0
P5850,@jdoe,LinkedIn,image,2022-07-27,19282.0,77.0,None,None,Yes,Samsung,4668.97,25.5,tech,Australia,10000.0,None
P5395,@jdoe,Instagram,video,2023-11-05,None,2343.0,1863.0,12.22,No,Adidas,4268.63,625.41,tech,Usa,500.0,9999.0
P8178,@alex_99,YouTube,video,2022-01-08,None,None,142.0,None,Yes,Samsung,4813.43,15.552299368800721,food,Usa,None,None
P9570,@the_real_amy,Instagram,image,2024-12-10,611937.0,None,None,None,Yes,Cocacola,49.661857529305685,11.003719567177638,food,Usa,1200000.0,9999.0
P6253,@lifestylelina,LinkedIn,reel,2024-10-12,4018.0,None,197.0,None,No,Nike,38.29643823264202,None,finance,Usa,1628281.0,None
